Allocation Name,Branch,Department,Percentage,Verified/Finalized
All_Branches_and_Departments,COL,Parts,3.50%,
All_Branches_and_Departments,COL,Service,1.50%,
All_Branches_and_Departments,HUR,Parts,9.50%,
All_Branches_and_Departments,HUR,Service,5.50%,
All_Branches_and_Departments,LEX,Parts,9.50%,
All_Branches_and_Departments,LEX,Service,5.50%,
All_Branches_and_Departments,LON,Body Shop,5.00%,
All_Branches_and_Departments,LON,New,11.50%,
All_Branches_and_Departments,LON,Parts,15.00%,
All_Branches_and_Departments,LON,Service,6.00%,
All_Branches_and_Departments,LON,Used,2.50%,
All_Branches_and_Departments,PAI,Parts,5.00%,
All_Branches_and_Departments,PIK,Parts,9.50%,
All_Branches_and_Departments,PIK,Service,5.50%,
All_Branches_and_Departments,TIR,Service,5.00%,
LON Division 25,LON,Body Shop,15.00%,
LON Division 25,LON,New,22.50%,
LON Division 25,LON,Parts,38.50%,
LON Division 25,LON,Service,11.50%,
LON Division 25,LON,Used,7.50%,
LEX,LEX,Parts,70.00%,
LEX,LEX,Service,30.00%,
HUR,HUR,Parts,70.00%,
HUR,HUR,Service,30.00%,
PIK,PIK,Parts,70.00%,
PIK,PIK,Service,30.00%,
PAI 100,PAI,Parts,100.00%,
COL,COL,Parts,70.00%,
COL,COL,Service,30.00%,
TIR 100,TIR,Service,100.00%,
